sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,errors
IBU-33510,,Default,simple,"tecpaq,tecpaq/iBOLT USA/smartPhones",base,"Switch Headrest",,,,1,,"Catalog, Search",59.95,44.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Category ""tecpaq/iBOLT USA/smartPhones"" has not been created. URL key for specified store already exists."
IBMM-33555,,Default,simple,"tecpaq,tecpaq/iBOLT USA/smartPhones",base,"magDock 360 Combo",,,,1,,"Catalog, Search",34.95,24.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Category ""tecpaq/iBOLT USA/smartPhones"" has not been created. URL key for specified store already exists."
IBBZ-33783,,Default,simple,"tecpaq,tecpaq/iBOLT USA/smartPhones",base,"mPro NFC Flex",,,,1,,"Catalog, Search",59.95,45.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Category ""tecpaq/iBOLT USA/smartPhones"" has not been created. URL key for specified store already exists."
IBP-40404,,Default,simple,"tecpaq,tecpaq/iBOLT USA/Parts",base,"Fixed Install Charger",,,,1,,"Catalog, Search",39.95,29.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Category ""tecpaq/iBOLT USA/smartPhones"" has not been created. URL key for specified store already exists."
IBU-33512,,Default,simple,"tecpaq,tecpaq/iBOLT USA/Parts",base,"incrediBOLT 4-Port Car Charger",,,,1,,"Catalog, Search",39.95,29.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Category ""tecpaq/iBOLT USA/smartPhones"" has not been created. URL key for specified store already exists."
IBBZ-33792,,Default,simple,"tecpaq,tecpaq/iBOLT USA/Tablets",base,"TabDock P.O.P. 360",,,,1,,"Catalog, Search",99.95,74.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Category ""tecpaq/iBOLT USA/smartPhones"" has not been created. URL key for specified store already exists."
IBC-34300,,Default,simple,"tecpaq,tecpaq/iBOLT USA/smartPhones",base,"ChargeDock USB-C",,,,1,,"Catalog, Search",49.95,39.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Category ""tecpaq/iBOLT USA/smartPhones"" has not been created. URL key for specified store already exists."
IBM-34200,,Default,simple,"tecpaq,tecpaq/iBOLT USA/smartPhones",base,"ChargeDock microUSB",,,,1,,"Catalog, Search",49.95,39.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Category ""tecpaq/iBOLT USA/smartPhones"" has not been created. URL key for specified store already exists."
IBA-34100,,Default,simple,"tecpaq,tecpaq/iBOLT USA/SmartPhones",base,"ChargeDock for Apple iPhones MFI Lightning ",,,,1,,"Catalog, Search",49.95,39.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Category ""tecpaq/iBOLT USA/smartPhones"" has not been created. URL key for specified store already exists."
